all_requests,policy,computing_time,all_emissions,slot_emissions,avg_errors
16384,Baseline,0.0202,319,"[318, 0, 0, 0, 0]",0.00
32768,Baseline,0.0387,1083,"[1083, 0, 0, 0, 0]",0.00
65536,Baseline,0.0780,3295,"[3295, 0, 0, 0, 0]",0.00
131072,Baseline,0.1493,5352,"[5352, 0, 0, 0, 0]",0.00
65536,Baseline,0.0792,783,"[782, 0, 0, 0, 0]",0.00
16384,Random,0.0236,159,"[159, 0, 0, 0, 0]",3.00
32768,Random,0.0387,1083,"[1083, 0, 0, 0, 0]",0.00
65536,Random,0.0894,1648,"[1647, 0, 0, 0, 0]",3.00
131072,Random,0.1493,5352,"[5352, 0, 0, 0, 0]",0.00
65536,Random,0.0879,39,"[39, 0, 0, 0, 0]",6.00
16384,Naive Carbon,0.0202,319,"[318, 0, 0, 0, 0]",0.00
32768,Naive Carbon,0.0436,542,"[541, 0, 0, 0, 0]",3.00
65536,Naive Carbon,0.0785,165,"[164, 0, 0, 0, 0]",6.00
131072,Naive Carbon,0.1643,2676,"[2676, 0, 0, 0, 0]",3.00
65536,Naive Carbon,0.0792,783,"[782, 0, 0, 0, 0]",0.00
16384,Naive Error (ε=2),0.0241,216,"[216, 0, 0, 0, 0]",1.99
32768,Naive Error (ε=2),0.0424,735,"[735, 0, 0, 0, 0]",1.99
65536,Naive Error (ε=2),0.0835,2236,"[2235, 0, 0, 0, 0]",1.99
131072,Naive Error (ε=2),0.1685,3632,"[3631, 0, 0, 0, 0]",2.00
65536,Naive Error (ε=2),0.0852,531,"[531, 0, 0, 0, 0]",1.99
16384,Naive Error (ε=4),0.0235,162,"[162, 0, 0, 0, 0]",3.05
32768,Naive Error (ε=4),0.0470,557,"[556, 0, 0, 0, 0]",3.02
65536,Naive Error (ε=4),0.0912,1705,"[1704, 0, 0, 0, 0]",3.00
131072,Naive Error (ε=4),0.1793,2774,"[2774, 0, 0, 0, 0]",2.99
65536,Naive Error (ε=4),0.0938,405,"[405, 0, 0, 0, 0]",3.00
16384,Naive Error (ε=5),0.0237,164,"[163, 0, 0, 0, 0]",3.02
32768,Naive Error (ε=5),0.0473,557,"[557, 0, 0, 0, 0]",3.01
65536,Naive Error (ε=5),0.0913,1697,"[1697, 0, 0, 0, 0]",3.01
131072,Naive Error (ε=5),0.1801,2772,"[2772, 0, 0, 0, 0]",2.99
65536,Naive Error (ε=5),0.0931,406,"[405, 0, 0, 0, 0]",2.99
16384,Naive Shift,0.0319,294,"[254, 0, 0, 0, 39]",0.00
32768,Naive Shift,0.0639,805,"[647, 0, 0, 157, 0]",0.00
65536,Naive Shift,0.1241,1663,"[654, 538, 469, 0, 0]",0.00
131072,Naive Shift,0.2443,2321,"[1067, 1253, 0, 0, 0]",0.00
65536,Naive Shift,0.0792,783,"[782, 0, 0, 0, 0]",0.00
16384,Carbonshift (ε=2),3.5230,188,"[148, 0, 0, 0, 39]",2.00
32768,Carbonshift (ε=2),4.0180,448,"[290, 0, 0, 157, 0]",2.00
65536,Carbonshift (ε=2),3.8160,690,"[32, 186, 469, 0, 0]",2.00
131072,Carbonshift (ε=2),4.2930,1097,"[53, 1043, 0, 0, 0]",2.00
65536,Carbonshift (ε=2),4.4820,522,"[521, 0, 0, 0, 0]",2.00
16384,Carbonshift (ε=4),3.8550,90,"[50, 0, 0, 0, 39]",4.00
32768,Carbonshift (ε=4),3.9220,163,"[32, 0, 0, 130, 0]",4.00
65536,Carbonshift (ε=4),3.4210,321,"[32, 26, 260, 0, 0]",4.00
131072,Carbonshift (ε=4),4.4630,586,"[53, 532, 0, 0, 0]",4.00
65536,Carbonshift (ε=4),4.6830,274,"[273, 0, 0, 0, 0]",4.00
16384,Carbonshift (ε=5),1.6860,45,"[12, 0, 0, 0, 32]",5.00
32768,Carbonshift (ε=5),2.0820,99,"[32, 0, 0, 66, 0]",5.00
65536,Carbonshift (ε=5),1.9000,201,"[32, 26, 140, 0, 0]",5.00
131072,Carbonshift (ε=5),2.2650,351,"[53, 297, 0, 0, 0]",5.00
65536,Carbonshift (ε=5),2.2530,157,"[156, 0, 0, 0, 0]",5.00
